text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @Chrestontalks: Scotiabank Arena Reno underway https://t.co/cBdApLkLXI,FALSE,0,NA,2019-08-08 23:59,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",6ixScq,2,TRUE,FALSE,NA,NA
"Bloody hell, Scotiabank. Fees jumping to $15.95/m from $13.95? I mean $13.95 was ridiculous enough. How much work i… https://t.co/KmJ1MQlzFs",FALSE,1,NA,2019-08-08 23:57,TRUE,NA,1.16E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",blackinkpoet,0,FALSE,FALSE,NA,NA
@mattfromnl @MotherofPups @scotiabank That’s a great endorsement for sure!,FALSE,0,mattfromnl,2019-08-08 23:55,FALSE,1.16E+18,1.16E+18,16579071,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kaddle,0,FALSE,FALSE,NA,NA
"TL:DR

More TD bank *branches* in my area than all other *banks* combined.

(There's a BMO beside one of the TD bra… https://t.co/TwR1LHYXMd",FALSE,1,yyzMYA,2019-08-08 23:55,TRUE,1.16E+18,1.16E+18,3303438653,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",yyzMYA,0,FALSE,FALSE,NA,NA
"@kaddle @MotherofPups @scotiabank I’ll also vouch for RBC. Was a BMO customer, switched about 10 years ago and RBC… https://t.co/gBsvh3j7RZ",FALSE,2,kaddle,2019-08-08 23:55,TRUE,1.16E+18,1.16E+18,41887216,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mattfromnl,0,FALSE,FALSE,NA,NA
@lehogan @MotherofPups @scotiabank I agree.,FALSE,0,lehogan,2019-08-08 23:54,FALSE,1.16E+18,1.16E+18,15097693,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kaddle,0,FALSE,FALSE,NA,NA
@lehogan @kaddle @scotiabank go through a mortgage broker. You can probably get a better rate elsewhere,FALSE,0,lehogan,2019-08-08 23:53,FALSE,1.16E+18,1.16E+18,15097693,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",MotherofPups,0,FALSE,FALSE,NA,NA
@kaddle @MotherofPups @scotiabank We need to renew our mortgage with Scotiabank soon. I'm worried about the drastic… https://t.co/pRrmYGwV3L,FALSE,1,kaddle,2019-08-08 23:52,TRUE,1.16E+18,1.16E+18,41887216,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",lehogan,0,FALSE,FALSE,NA,NA
@hickey409 @scotiabank with my LOC and credit cards I have 7 accounts. I am more than happy to walk away from all of it after this.,FALSE,0,hickey409,2019-08-08 23:50,FALSE,1.16E+18,1.16E+18,120814547,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",MotherofPups,0,FALSE,FALSE,NA,NA
@67Dodge @TheDividendGuy @FrugalTrader @PassiveCndIncom @JonChevreau @The_Money_Geek @scotiabank PM = you mean a Pr… https://t.co/ATKo8bzPdq,FALSE,2,67Dodge,2019-08-08 23:49,TRUE,1.16E+18,1.16E+18,28217100,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",myownadvisor,0,FALSE,FALSE,NA,NA
@MotherofPups @kavs86 @scotiabank You’d be perfectly within your right to do so!,FALSE,1,MotherofPups,2019-08-08 23:48,FALSE,1.16E+18,1.16E+18,9.04E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kaddle,0,FALSE,FALSE,NA,NA
@MotherofPups @scotiabank Absolutely not. They have been really good to us since we explained what Scotiabank did to us.,FALSE,1,MotherofPups,2019-08-08 23:47,FALSE,1.16E+18,1.16E+18,9.04E+17,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kaddle,0,FALSE,FALSE,NA,NA
