text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @broadwaychicago: Broadway In Chicago will honor the Tony Award-winning director and producer, who passed away at the age of 91 today, b…",FALSE,0,NA,2019-07-31 23:52,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DebbieBluebird,9,TRUE,FALSE,NA,NA
"Auditor, Internal Audit: CIBC Mellon (Toronto, ON): \audits of CIBC Mellon lines of business under the direction of… https://t.co/8XoHIbg0Eb""",FALSE,0,NA,2019-07-31 23:50,TRUE,NA,1.16E+18,NA,"<a href=\https://www.socialoomph.com\"" rel=\""nofollow\"">SocialOomph</a>""",Toronto_job,0,FALSE,FALSE,NA,NA
"RT @broadwaychicago: Broadway In Chicago will honor the Tony Award-winning director and producer, who passed away at the age of 91 today, b…",FALSE,0,NA,2019-07-31 23:44,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",GABBYABOOKS,9,TRUE,FALSE,NA,NA
Food or banking. Pick one. https://t.co/s1OAXh2mTT,FALSE,0,NA,2019-07-31 23:39,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",dima_nomad,0,FALSE,FALSE,NA,NA
"RT @nazsyed: Please help me reach my goal  for the Canadian Cancer Society CIBC Run for the Cure by donating today! Together, we can make b…",FALSE,0,NA,2019-07-31 23:38,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",nazsyed,1,TRUE,FALSE,NA,NA
"@cibc After all the data breaches, can any bank truly be trusted?",FALSE,0,cibc,2019-07-31 23:34,FALSE,1.12E+18,1.16E+18,27949726,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",NoirB6,0,FALSE,FALSE,NA,NA
"@CIBC_FCIB atm in Portmore at your branch, the atm machine is too loud. Persons doing their transactions can be hea… https://t.co/9r4YzwjlhB",FALSE,0,CIBC_FCIB,2019-07-31 23:27,TRUE,NA,1.16E+18,494015986,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",GreeneThomps,0,FALSE,FALSE,NA,NA
RT @eFXdata: USD: July FOMC: The Devil In The Details Of The Decision's Voting - CIBC - https://t.co/GuL169nWEg,FALSE,0,NA,2019-07-31 23:12,FALSE,NA,1.16E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",fiatcrush,1,TRUE,FALSE,NA,NA
"RT @broadwaychicago: Broadway In Chicago will honor the Tony Award-winning director and producer, who passed away at the age of 91 today, b…",FALSE,0,NA,2019-07-31 22:48,FALSE,NA,1.16E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",kafine,9,TRUE,FALSE,NA,NA
"RT @broadwaychicago: Broadway In Chicago will honor the Tony Award-winning director and producer, who passed away at the age of 91 today, b…",FALSE,0,NA,2019-07-31 22:46,FALSE,NA,1.16E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",MsNystedtMusic,9,TRUE,FALSE,NA,NA
"RT @broadwaychicago: Broadway In Chicago will honor the Tony Award-winning director and producer, who passed away at the age of 91 today, b…",FALSE,0,NA,2019-07-31 22:46,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",aegoldstein,9,TRUE,FALSE,NA,NA
