text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @WaterlooEDC: New report from @TD_Canada calls Waterloo a \rising tech superstar city.\"" Here are four reasons why: https://t.co/uHUeaEbJ…""",FALSE,0,NA,2019-08-08 23:44,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",IanMcLeanKW,2,TRUE,FALSE,NA,NA
"TD Bank is hiring in #Vanscoy, SK! Click the link in our bio to apply: Mobile Mortgage Specialist I #Banking",FALSE,0,NA,2019-08-08 23:35,FALSE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_CAS_banking,0,FALSE,FALSE,-106.7605787,52.1272454
These TD bank green screens are making my eyes hurt,FALSE,0,NA,2019-08-08 23:14,FALSE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",afitch732,0,FALSE,FALSE,NA,NA
"@BradAllenDrums @terrymarvin63 @averagejoenow Does this help soothe your (lack of) soul, Brad-the-Buttercup?
https://t.co/wEjnASecIV",FALSE,0,BradAllenDrums,2019-08-08 23:08,FALSE,1.16E+18,1.16E+18,859183320,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",suzannekelley,0,FALSE,FALSE,NA,NA
"@onihaechi tell ur sister to meet me behind the local td bank for a beyblade battle, i WILL fight for ur honor",FALSE,1,onihaechi,2019-08-08 23:05,FALSE,1.16E+18,1.16E+18,1.15E+18,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",crockgs,0,FALSE,FALSE,NA,NA
"Join the TD Bank team! See our latest job opening here: https://t.co/D1czVALV8Q #Finance #Lethbridge, AB",FALSE,0,NA,2019-08-08 23:00,FALSE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_nab_jobs,0,FALSE,FALSE,-112.842411,49.693626
This #Finance job might be a great fit for you. Click the link in our bio to see it and more. Store Mgr I - Travele… https://t.co/BIuzohUYPB,FALSE,0,NA,2019-08-08 22:54,TRUE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_grn_finance,0,FALSE,FALSE,-82.4327449,34.9649994
This is what a customer call to @TD_Insurance looks like for a long time TD Bank customer who has added a fourth ve… https://t.co/qaYZZDlbqe,FALSE,0,NA,2019-08-08 22:37,TRUE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",barry_braun,0,FALSE,FALSE,NA,NA
"I think banks/visa have been too trigger happy deploying AI for fraud prevention, I have to call the bank to get pe… https://t.co/uPeXf0fNE4",FALSE,0,NA,2019-08-08 22:37,TRUE,NA,1.16E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",frugalinvestr,0,FALSE,FALSE,NA,NA
This is what a customer call to TD@Insurance looks like for a long time TD Bank customer who has added a fourth veh… https://t.co/OY8ijQcX3b,FALSE,1,NA,2019-08-08 22:34,TRUE,NA,1.16E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",barry_braun,0,FALSE,FALSE,NA,NA
Interested in a job in NY? This could be a great fit. Click the link in our bio to apply: Teller I ( Jackson Hts DT… https://t.co/6mCqCJPSKi,FALSE,0,NA,2019-08-08 22:32,TRUE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_nyc_banking,0,FALSE,FALSE,-73.8921239,40.748762
Who got TD bank and wanna make 1000 tomorrow? Hurry up and inbox me.,FALSE,0,NA,2019-08-08 22:31,FALSE,NA,1.16E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",Ha_Nasia_x3,0,FALSE,FALSE,NA,NA
"Can you recommend anyone for this job? Audit Associate (US) - https://t.co/kKfYwr8cgC #Accounting #MtLaurel, NJ",FALSE,0,NA,2019-08-08 22:28,FALSE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_NJ_finance,0,FALSE,FALSE,-74.958231,39.9177465
"We're hiring! Click to apply: Analyst III - https://t.co/UYGZEYbwM8 #Finance #Montréal, QC",FALSE,0,NA,2019-08-08 22:27,FALSE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_mon_jobs,0,FALSE,FALSE,NA,NA
Head to Head Comparison: Royal Bank of Scotland Group $RBS versus Toronto-Dominion Bank $TD https://t.co/qesiTkSCOL #stocks,FALSE,0,NA,2019-08-08 22:26,FALSE,NA,1.16E+18,NA,"<a href=\https://zapier.com/\"" rel=\""nofollow\"">Zapier.com</a>""",AmericanBanking,0,FALSE,FALSE,NA,NA
"Can you recommend anyone for this #Finance job in #Edmonton, AB? Click the link in our bio to see it and more. Fina… https://t.co/0uQ6ArzjGb",FALSE,0,NA,2019-08-08 22:21,TRUE,NA,1.16E+18,NA,"<a href=\https://www.careerarc.com\"" rel=\""nofollow\"">CareerArc 2.0</a>""",tmj_edm_finance,0,FALSE,FALSE,-113.450247,53.4721022
